Vendor,Name,Unit,Rate
AK TRADERS,VILLA PAPADUM 60PCS X 100G,CASE,277.78
AK TRADERS,DARK SOYA SAUCE 1*12*640ML,PCS,41.67
AK TRADERS,TOMATO PASTE - 24 X 400G,CASE,333.27
AK TRADERS,ASEYMIRUS (BLACK PEPPER),KG,200
HAPPY MARKET,PASTA SPAGHETTI (20X500 GM),CASE,490
STOP & SHOP,MAMEE NOODLES 80 GM PK30 X 80 GM,CTN,157.79
STOP & SHOP,DIAMOND SPONGE WITH NYLON RUBBER 12 Pcs1x12,PCS,3.24
AK TRADERS,MAMA LIME 4 X 5L,Case,398.15
PROPAK,CLING FILM 300MX45CM,Roll,190
STOP & SHOP,FANTA ORANGE 500 ML B24 X 500 ML,PCS,11.88
AK TRADERS,SUNQUICK JUICE TROPICAL -6 X 700ML,CASE,415.67
STOP & SHOP,VIRGINIA GREEN GARDEN HONEY SQUEEZE 400gm 12x 400,PCS,28.803
PROPAK,"WOODEN SPOON 6"" - 40 X 50PCS",1/2 CASE,0
AK TRADERS,AJINA MOTO 350g,CSE,925.93
STO VILLIMALE,DEVONDALE FULL CREAM MILK 1LTR,CTN,290
S&O CORNER,SCHWEPPES SODA WATER CAN 24 X 330ML,CASE,360
STOP & SHOP,COCA COLA SOFTDRINK COKE 500 ML B24 X 500 ML,PCS,11.88
STOP & SHOP,SPRITE CAN 24 X 330ML,CASE,285
,ITALIAN SEASONING - 500G,PKT,0
AK TRADERS,EASTERN CHICKEN MASALA 100G,KG,166.67
,KASHMIRI CHILI POWDER - KG,KG,0
,BASIL LEAVES - KG,GRAMS,0.3
,FRESH PARSLEY LEAVES,GRAMS,0.38
,ASPARAGUS FRESH - KG HOLLAND,KG,0
STO VILLIMALE,CHOICE VEGETABLE OIL 18L,KG,430
S&O CORNER,BEEF BURGER - 10x20 PC x 1 KG,KG,152.78
,BEEF BACON SLICED 1KG,PKT,0
,LADYS CHOICE REAL MAYONNAISE - 4X3L,CASE,0
,"TORTILLA WRAP 10"" - 12 X 6.5G",PKT,0
AK TRADERS,WATER MELON - 25 KG/BAG,BAG,325
GROW SHOP,FRESH PINE APPLE,CSE,383.52
AK TRADERS,ONION INDIA 25KG,BAG,500
AK TRADERS,TOMATO INDIA KG13,CASE,400
,RED CABBAGE KG,KG,25
AK TRADERS,WHITE EGGS 210 PCS,CASE,480
,YOWE BREAD CRUMB 1KG,PKT,0
STOP & SHOP,STELLA AIR FRESHENER - ORANGE 400 ML B12 X 400 ML,PCS,32.87
AK TRADERS,CHICKEN STOCK 1*1KG*8PKT,PKT,138.89
CYPREA FNB LTD,BLACK OLIVES PITTED 6 X 3KG,TIN,166.67
HAPPY MARKET,CHOICE BASMATI RICE GOLD 5KG,CTN,458.68
AK TRADERS,TUNA CHUNCK OIL 180G-48 PCS,CASE,770
MARUHABA,TOWEL MICRO,PCS,23.15
,CLOTH BAG BLUE MEDIUM 100PCS,BUNDLE,0
,CLOTH BAG BLUE LARGE 100PCS,BUNDLE,0
STOP & SHOP,ELEPHANT HOUSE ICE CREAM VANILLA 4 LTR TUB X 4 LTR,TUB,249.005
STOP & SHOP,EH ICE CREAM STRAWBERRY - 4LTR,TUB,249
AK TRADERS,PAPRIKA POWDER 330g,PCS,46.3
,BEEF PEPPARONI - KG,KG,0
HAPPY MARKET,BEEF MINCED ALLANA (40X450 GM),PKT,39.81
HAPPY MARKET,BUTTER UNSALTED - 20X200G,CASE,921.3
HAPPY MARKET,MILLAC WHIPPING AND COOKING CREAM 1 LITER,CSE,79.09
HAPPY MARKET,BEEF TENDERLOIN INDIAN (A) (18KG),CTN,2768.52
HAPPY MARKET,BEEF TOPSIDE ALLANA (20 KG),KG,116.67
HAPPY MARKET,CHEESE SLICED  (12x1KG) (BEGA),CTN,1439
HAPPY MARKET,CHICKEN (10X1200 GM),CTN,541.67
HAPPY MARKET,CHICKEN BREAST B/LESS (6X2 KG),CTN,750
HAPPY MARKET,CHICKEN SAUSAGES FRANGOSUL (28X340 GM),CTN,407.41
HAPPY MARKET,FROZEN FRENCH FRIES 7MM (10X1 KG),CTN,527.78
CYPREA FNB LTD,FROZEN POTATO WEDGES 10X1KG,PKT,66.67
PROPAK,PAPADAM BAG - 50PCS,PACK,0
PROPAK,LWS 3 COMPARTMENT 3C230,PCS,0
PROPAK,PLASTIC CUP (100PCS) - 2OZ,PACK,0
PROPAK,PAPER STRAW (100PCS) - 8MM,PKT,0
PROPAK,GLOVES BLACK ( POWDER FREE),PCK,95
PROPAK,PLASTIC CONTAINER - 500ML,PACK,0
AK TRADERS,FRESH GARLIC 10KG,CSE,380
HAPPY MARKET,TOMATOES PEELED (6XA10),CTN,574.08
S&O CORNER,FRESH ORANGE 15KG,CASE,290
AK TRADERS,CARROT,CASE,300
AK TRADERS,FRESH LIME 8KG,CASE,480
IHUSAAN FIHAARA,FRESH GREEN APPLE,KG,0
GROW SHOP,PASSION FRUIT - KG,KG,100
AK TRADERS,FRESH GINGER KG,CSE,450
GROW SHOP,FRESH LEEKS KG,KG,100
GROW SHOP,FRESH ICEBERG LETTUCE KG,KG,75
GROW SHOP,FRESH BEANS KG,KG,100
,FRESH BROCCOLI KG,KG,0
IHUSAAN FIHAARA,FRESH MINT LEAVES,Grams,0
GROW SHOP,GREEN CHILLIE LONG KG,KG,80
AK TRADERS,POTATO INDIA KG,BAG,380
Jaleelube,COCONUT FRESH 100PCS,BAG,1200
GROW SHOP,CURRY LEAVES,KG,50
GROW SHOP,FRESH HOT CHILLIE MALDIVES,KG,350
,FRESH BEET ROOT - KG,KG,0
GROW SHOP,FRESH CAULI FLOWER KG,KG,69.34
,KANKUN - KG,KG,0
THE FISH CHANNEL - B21,VALHOMAS (VACUUMED) - KG,KG,70
AK TRADERS,FRESH LEMON (GREEN),CSE,350
GROW SHOP,FRESH CAPSICUM - KG,KG,80
GROW SHOP,FRESH CORIANDER LEAVES 1KG,KG,233.54
GROW SHOP,BELL PEPPER MIX COLOUR (YRG),KG,95
AK TRADERS,CASHEW NUT,KG,240.74
,OREA BUISCUIT,Case,0
AK TRADERS,GOLD VALLEY MUSHROOM,CASE,416.67
,CUMIN SEEDS,KG,0
S&O CORNER,PARMESAN CHEESE 5x1kg,KG,300
,GLASS CLEANER,Case,0
,CURD,KG,0
,DETOL FLOOR CLEANER 5 LITER,Pcs,0
HAPPY MARKET,STRAWBERRY PORTION JAM M&G (200X14 GM),CTN,333.33
HAPPY MARKET,BUTTER PORTION UNSALTED (200X14 GM),CTN,453.7
PROPAK,DISPOSABLE HAIR NET,Box,0
HAPPY MARKET,TOMATO KETCHUP YAKIN (6X2.9 KG),BTL,101.85
,ABC SOURCE BOTTLE,CSE,0
,DEMI GLACE SAUCE,PKT,0
,MAE PLOY RED CURRY PASTE,Tube,0
AK TRADERS,CHILLI FLAKES,pkt,0
,SOFFELA MOSQUITO SPRAY,doz,0
PROPAK,DOUBLE PEACH CONDENSED MILK,case,0
AK TRADERS,CLOVE,kg,300
,TIFFANY MILK RUSK,case,0
SEALINK PVT LTD,WHIPPED CREAM 30% SWEETENED 250ML,CTN,783
,CHICKEN TANDOORI MASALA,kg,0
,GARLIC POWDER (NO BOTTLE),Grams,0
,MD MIXED FRUIT JAM 500 GM,jar,0
AK TRADERS,SWEET CHILLI SAUCE 700 ML,PCS,231.482
AK TRADERS,CORIENDAR POWDER 100g,kg,70
,OYESTAR SAUCE 5 LTR,can,0
AK TRADERS,FOOD COLOUR (ORANGE&RED),BOX,32.41
AK TRADERS,CARDAMON,KG,950
AK TRADERS,"GARBAGE BAG 36X48""",PKT,185.2
NEO,CRYSTAL WHITE SUGAR (NEO~G~STICK),CTN,277.778
STOP & SHOP,NESTLE NESCAFE INSTANT COFFEE 500 GM TIN6 X 500 GM,PCS,408.338
,DIABETIC SUGAR,box,0
AK TRADERS,DRY CHILLI BIG 1*25KG,KG/PKT,120
,DAISY MARGERINE 2.5 KG,tin,0
,MASKING TAPE,pcs,0
ECO PACKS,PLASTIC U CUP 250 PCS 12 OZ,pack,0
,COOKING CHOCOLATE DARK 2 KG,pcs,0
PROPAK,SUBMARINE BAG BROWN 100 PCS,pack,0
,VIRGINA GREEN GARDEN OLIVE OIL 1 LTR 8 BTL,Nos,136.11
,ROSEMERRY LEAFS,GRAMS,0.2
,SHEZWAN CHUTNEY,Case,0
PROPAK,DELUX ALUMINIUM FOIL 6X45X300 M,Roll,0
PROPAK,BURGER BOX TAKEAWAY 50 PCS,pkt,0
,ROSE TAMARIND,Doz,0
AK TRADERS,SAFA CORN FLOUR 400GX24,CSE,398.14
PROPAK,WOODEN STICK FOR TAKEAWAY COFFEE STIR,PKT,0
IMARK,VINDA AFH SERIES SOFT PACK 150SHEETS TISSUE,CASE,700
S&O CORNER,CHICKEN BURGER 10x20pcs,CTN,143.52
STO VILLIMALE,TABLE SALT (BRAND FINE),CTN,
HAPPY MARKET,PASTA PENNE #18 (12X500 GM),CTN,295
PROPAK,ALUMINIUM CONTAINER+LID - 1000PCS X 450ML,pcs,0
,MOP FLOOR CLEANER,PCS,0
PROPAK,THERMAL PAPER 80 X 70,Case,0
AK TRADERS,HERSHY CHOCOLATE SYUP,pcs,60.18
PROPAK,BAMBOO STICK,pkt,0
,PROWNS,PKT,0
AK TRADERS,RANI YELLOW POWDER 1*1KG,KG,95
STO VILLIMALE,PEANUT BUTTER CREAMY 510G,CTN,
,TEA BAG,CASE,0
,HEERA PANA BIG,PCS,0
,XL,CASE,0
,REDBULL,CASE,0
PROPAK,ALUMINIUM CONTAINER+LID - 1000PCS X 300ML,1/2 CASE,0
PROPAK,ALUMINIUM CONTAINER 750 ML COVER,PCK,0
PROPAK,LWS RE220 1100 ML,PCS,0
